accession	sample_title	breed	scientific_name	sex	center_name
SAMN08810166	Model organism or animal sample from Bos taurus		Bos taurus	female	Livestock Improvement Corporation (LIC)
SAMN09379695	108379242		Bos taurus	male	University of Alberta
SAMN09379696	108380925		Bos taurus	male	University of Alberta
SAMN09379698	398390688		Bos taurus	male	University of Alberta
SAMN09379699	169889947		Bos taurus	male	University of Alberta
SAMN09379701	387284019		Bos taurus	male	University of Alberta
SAMN09379702	108373084		Bos taurus	male	University of Alberta
SAMN09379703	116542523		Bos taurus	male	University of Alberta
SAMN09379705	108376074		Bos taurus	male	University of Alberta
SAMN09379706	363633136		Bos taurus	male	University of Alberta
SAMN09379707	108376504		Bos taurus	male	University of Alberta
SAMN09379708	119077263		Bos taurus	male	University of Alberta
SAMN09379709	108379289		Bos taurus	male	University of Alberta
SAMN09379710	108379091		Bos taurus	male	University of Alberta
SAMN09379711	359538368		Bos taurus	male	University of Alberta
SAMN09379712	108375560		Bos taurus	male	University of Alberta
SAMN09379713	108375352		Bos taurus	male	University of Alberta
SAMN09379716	108376400		Bos taurus	male	University of Alberta
SAMN09379717	69092938		Bos taurus	male	University of Alberta
SAMN09379718	108380989		Bos taurus	male	University of Alberta
SAMN09379719	108375116		Bos taurus	male	University of Alberta
SAMN09379720	108376842		Bos taurus	male	University of Alberta
SAMN09379722	108379123		Bos taurus	male	University of Alberta
SAMN09379723	108379457		Bos taurus	male	University of Alberta
SAMN09379724	108379011		Bos taurus	male	University of Alberta
SAMN09379725	108376493		Bos taurus	male	University of Alberta
SAMN09379726	108379199		Bos taurus	male	University of Alberta
SAMN09379727	169861535		Bos taurus	male	University of Alberta
SAMN09379728	108375580		Bos taurus	male	University of Alberta
SAMN09379729	108376092		Bos taurus	male	University of Alberta
SAMN09379730	69091165		Bos taurus	male	University of Alberta
SAMN09379731	480556007		Bos taurus	male	University of Alberta
SAMN09379732	108379320		Bos taurus	male	University of Alberta
SAMN09379733	108375584		Bos taurus	male	University of Alberta
SAMN09379734	108380978		Bos taurus	male	University of Alberta
SAMN09379735	139799126		Bos taurus	male	University of Alberta
SAMN09379738	108375879		Bos taurus	male	University of Alberta
SAMN09379739	108373262		Bos taurus	male	University of Alberta
SAMN09379740	108375545		Bos taurus	male	University of Alberta
SAMN09379741	395585501		Bos taurus	male	University of Alberta
SAMN09379742	108375989		Bos taurus	male	University of Alberta
SAMN09379743	108378056		Bos taurus	male	University of Alberta
SAMN09379744	108375577		Bos taurus	male	University of Alberta
SAMN09379747	108375551		Bos taurus	male	University of Alberta
SAMN09379748	168532567		Bos taurus	male	University of Alberta
SAMN09379750	348078506		Bos taurus	male	University of Alberta
SAMN09379751	108377610		Bos taurus	male	University of Alberta
SAMN09379753	108377726		Bos taurus	male	University of Alberta
SAMN09379754	108377764		Bos taurus	male	University of Alberta
SAMN09379755	108377588		Bos taurus	male	University of Alberta
SAMN09379757	482838448		Bos taurus	male	University of Alberta
SAMN09379758	108373245		Bos taurus	male	University of Alberta
SAMN09379760	108375945		Bos taurus	male	University of Alberta
SAMN09379761	108376257		Bos taurus	male	University of Alberta
SAMN09379763	108378319		Bos taurus	male	University of Alberta
SAMN09379764	108376331		Bos taurus	male	University of Alberta
SAMN09379766	108379225		Bos taurus	male	University of Alberta
SAMN09379767	270107632		Bos taurus	male	University of Alberta
SAMN09379768	580128786		Bos taurus	male	University of Alberta
SAMN09379769	118855810		Bos taurus	male	University of Alberta
SAMN09379770	108379255		Bos taurus	male	University of Alberta
SAMN09379771	108376528		Bos taurus	male	University of Alberta
SAMN09379773	108378809		Bos taurus	male	University of Alberta
SAMN09379774	273050886		Bos taurus	male	University of Alberta
SAMN09379775	108373030		Bos taurus	male	University of Alberta
SAMN09379776	108378768		Bos taurus	male	University of Alberta
SAMN09379777	69091951		Bos taurus	male	University of Alberta
